"No.","Time","Source","Destination","Protocol","Length","Info"
"721","8.539674","host","1.6.0","USBCOM","36","SET CONTROL LINE STATE Request"
"723","8.539780","host","1.6.0","USBCOM","36","GET LINE CODING Request"
"724","8.539960","1.6.0","host","USBCOM","35","GET LINE CODING Response"
"725","8.539967","host","1.6.0","USBCOM","36","GET LINE CODING Request"
"726","8.540206","1.6.0","host","USBCOM","35","GET LINE CODING Response"
"727","8.540260","host","1.6.0","USBCOM","36","GET LINE CODING Request"
"728","8.540484","1.6.0","host","USBCOM","35","GET LINE CODING Response"
"729","8.540492","host","1.6.0","USBCOM","36","GET LINE CODING Request"
"730","8.540677","1.6.0","host","USBCOM","35","GET LINE CODING Response"
"731","8.540688","host","1.6.0","USBCOM","43","SET LINE CODING Request"
"733","8.540828","host","1.6.0","USBCOM","36","GET LINE CODING Request"
"734","8.541005","1.6.0","host","USBCOM","35","GET LINE CODING Response"
"735","8.541014","host","1.6.0","USBCOM","36","SET CONTROL LINE STATE Request"
"737","8.541155","host","1.6.0","USBCOM","43","SET LINE CODING Request"
"739","8.541289","host","1.6.0","USBCOM","36","GET LINE CODING Request"
"740","8.541461","1.6.0","host","USBCOM","35","GET LINE CODING Response"
"745","10.573448","host","1.6.4","USBCOM","29","URB_BULK out"
"747","10.575222","1.6.3","host","USBCOM","43","URB_BULK in"
"751","10.579497","1.6.3","host","USBCOM","69","URB_BULK in"
"755","12.605565","host","1.6.4","USBCOM","30","URB_BULK out"
"757","12.606664","1.6.3","host","USBCOM","31","URB_BULK in"
"761","12.610838","1.6.3","host","USBCOM","45","URB_BULK in"
"765","12.619905","host","1.6.4","USBCOM","30","URB_BULK out"
"767","12.623227","1.6.3","host","USBCOM","58","URB_BULK in"
"771","12.627414","1.6.3","host","USBCOM","75","URB_BULK in"
"775","12.631538","1.6.3","host","USBCOM","75","URB_BULK in"
"779","12.635637","1.6.3","host","USBCOM","75","URB_BULK in"
"783","12.639716","1.6.3","host","USBCOM","76","URB_BULK in"
"787","12.643796","1.6.3","host","USBCOM","75","URB_BULK in"
"791","12.647925","1.6.3","host","USBCOM","75","URB_BULK in"
"795","12.651986","1.6.3","host","USBCOM","75","URB_BULK in"
"799","12.656076","1.6.3","host","USBCOM","76","URB_BULK in"
"803","12.660156","1.6.3","host","USBCOM","75","URB_BULK in"
"807","12.664286","1.6.3","host","USBCOM","75","URB_BULK in"
"811","12.668393","1.6.3","host","USBCOM","75","URB_BULK in"
"815","12.672468","1.6.3","host","USBCOM","75","URB_BULK in"
"819","12.676597","1.6.3","host","USBCOM","76","URB_BULK in"
"823","12.680666","1.6.3","host","USBCOM","75","URB_BULK in"
"827","12.684752","1.6.3","host","USBCOM","75","URB_BULK in"
"831","12.688880","1.6.3","host","USBCOM","75","URB_BULK in"
"835","12.692943","1.6.3","host","USBCOM","75","URB_BULK in"
"839","12.697044","1.6.3","host","USBCOM","76","URB_BULK in"
"843","12.701168","1.6.3","host","USBCOM","75","URB_BULK in"
"847","12.705229","1.6.3","host","USBCOM","75","URB_BULK in"
"851","12.709143","1.6.3","host","USBCOM","41","URB_BULK in"
"855","12.717765","host","1.6.4","USBCOM","30","URB_BULK out"
"857","12.721535","1.6.3","host","USBCOM","63","URB_BULK in"
"861","12.725477","1.6.3","host","USBCOM","41","URB_BULK in"
"865","12.930231","host","1.6.4","USBCOM","28","URB_BULK out"
"867","12.934684","1.6.3","host","USBCOM","71","URB_BULK in"
"871","12.938544","1.6.3","host","USBCOM","37","URB_BULK in"
"875","13.134657","host","1.6.4","USBCOM","28","URB_BULK out"
"877","13.139394","1.6.3","host","USBCOM","75","URB_BULK in"
"881","13.143273","1.6.3","host","USBCOM","33","URB_BULK in"
"885","13.335581","host","1.6.4","USBCOM","28","URB_BULK out"
"887","13.340089","1.6.3","host","USBCOM","72","URB_BULK in"
"891","13.343908","1.6.3","host","USBCOM","36","URB_BULK in"
"895","13.535755","host","1.6.4","USBCOM","28","URB_BULK out"
"897","13.536409","1.6.3","host","USBCOM","31","URB_BULK in"
"901","13.540752","1.6.3","host","USBCOM","75","URB_BULK in"
"909","13.736143","host","1.6.4","USBCOM","28","URB_BULK out"
"911","13.737141","1.6.3","host","USBCOM","34","URB_BULK in"
"915","13.741432","1.6.3","host","USBCOM","74","URB_BULK in"
"919","13.937882","host","1.6.4","USBCOM","28","URB_BULK out"
"921","13.942162","1.6.3","host","USBCOM","70","URB_BULK in"
"925","13.946003","1.6.3","host","USBCOM","38","URB_BULK in"
"929","14.139808","host","1.6.4","USBCOM","28","URB_BULK out"
"931","14.142728","1.6.3","host","USBCOM","55","URB_BULK in"
"935","14.146796","1.6.3","host","USBCOM","53","URB_BULK in"
"939","14.341474","host","1.6.4","USBCOM","28","URB_BULK out"
"941","14.343449","1.6.3","host","USBCOM","44","URB_BULK in"
"945","14.347563","1.6.3","host","USBCOM","64","URB_BULK in"
"957","14.543388","host","1.6.4","USBCOM","28","URB_BULK out"
"959","14.543914","1.6.3","host","USBCOM","30","URB_BULK in"
